# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,1.476189,0.000000,0.000000,-0.051141,0.007142,0.022730,-0.013042,0.002096,0.030113,0.000000,-0.000000,2.363747,-4.285378,3.149675,-1.060398,0.135446,0.999678,-0.000000,0.000000,0.004356,-0.003829,-0.000960,0.001603,-0.000356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.342299,-0.131795,-0.038602,0.002233,0.005999,-0.003487,0.000414,0.000053,0.635201,0.290077,-0.168656,0.253598,-0.011169,-0.187051,0.114367,-0.020208,0.999619,0.001397,0.003149,-0.007393,0.001712,0.003240,-0.002032,0.000338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.959831,-0.243200,-0.025244,0.006649,0.002587,-0.005793,0.002735,-0.000414,1.138071,0.242523,-0.010737,-0.335408,0.570637,-0.394477,0.123049,-0.014340,1.000144,0.000501,-0.001532,0.000007,0.000863,0.000146,-0.000393,0.000092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.403714,-0.305373,-0.008466,0.001425,0.003539,-0.004247,0.001939,-0.000305,1.443351,0.077685,0.008801,0.107722,-0.324191,0.283571,-0.104086,0.013908,1.000215,-0.000360,-0.001409,0.001538,0.000226,-0.000511,0.000094,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.223658,-0.312818,0.005904,-0.000515,0.003951,-0.003425,0.001426,-0.000220,1.501647,-0.036576,-0.074189,-0.008204,0.146033,-0.156831,0.063519,-0.009044,1.000210,-0.000452,-0.001042,0.001312,0.000088,-0.000396,0.000089,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.813055,-0.267639,0.018159,-0.000846,0.003377,-0.002632,0.001019,-0.000150,1.291601,-0.161356,0.001757,-0.014892,-0.059092,0.076439,-0.032748,0.004784,1.000188,-0.000259,-0.000834,0.000837,0.000095,-0.000212,0.000023,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-1.266705,-0.179428,0.026991,-0.000354,0.002096,-0.001757,0.000670,-0.000095,0.873819,-0.253281,-0.035391,0.009280,0.034818,-0.042086,0.017390,-0.002472,1.000103,-0.000044,-0.000475,0.000530,-0.000014,-0.000170,0.000062,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-1.512426,-0.063240,0.031374,-0.000039,0.000609,-0.000402,0.000069,0.000001,0.306838,-0.304677,0.001596,0.002590,-0.016130,0.014369,-0.004705,0.000527,0.999960,-0.000168,0.000004,0.000514,-0.000130,-0.000281,0.000164,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-1.512297,0.062816,0.030841,0.000373,-0.001126,0.001011,-0.000484,0.000082,-0.307373,-0.301203,0.004358,-0.009466,0.021338,-0.013628,0.003637,-0.000332,0.999985,-0.000301,0.000096,0.000506,-0.000107,-0.000314,0.000175,-0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-1.266448,0.179342,0.025901,0.000285,-0.002582,0.002297,-0.000976,0.000151,-0.872474,-0.255143,0.019344,0.012245,-0.021046,0.014823,-0.004392,0.000449,0.999966,-0.000329,0.000105,0.000624,-0.000149,-0.000366,0.000209,-0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.812779,0.267891,0.016807,0.000036,-0.003760,0.003381,-0.001381,0.000207,-1.293408,-0.160451,0.021389,-0.014313,0.053000,-0.048650,0.018131,-0.002407,0.999990,-0.000390,0.000066,0.000652,-0.000109,-0.000388,0.000207,-0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.223437,0.312979,0.004490,-0.000183,-0.004183,0.003760,-0.001537,0.000232,-1.499856,-0.040102,0.049086,0.016452,-0.096747,0.100207,-0.040414,0.005747,0.999986,-0.000363,0.000081,0.000777,-0.000170,-0.000499,0.000285,-0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.403704,0.304424,-0.009295,0.000670,-0.003975,0.002662,-0.000968,0.000147,-1.444251,0.089683,0.005327,0.003047,0.121562,-0.158506,0.073570,-0.011731,0.999895,-0.000470,0.000448,0.001129,-0.000467,-0.000912,0.000640,-0.000112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.959186,0.241094,-0.021142,0.002905,-0.004747,-0.000383,0.001478,-0.000351,-1.139400,0.227307,0.034601,-0.162535,0.225454,-0.102423,0.007772,0.003007,0.999774,-0.000256,0.001471,0.000639,-0.001298,-0.000922,0.001120,-0.000249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.341519,0.135411,-0.029402,-0.010470,0.000197,0.014298,-0.010565,0.002201,-0.634682,0.275154,0.162153,0.471385,-1.957955,2.167112,-0.970285,0.154018,0.999809,0.001551,0.001982,-0.006749,0.000173,0.006196,-0.003818,0.000677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
